"","tp","AOO","occupancy_area","occupancy_Ncells","relative_occupancy_area","relative_occupancy_Ncells","occupancy_area_scaled","occupancy_Ncells_scaled","relative_occupancy_area_scaled","relative_occupancy_Ncells_scaled","AOO_scaled"
"227",1,0.802,0.802,-0.932,0.802,0.729,0.425,0.468,0.422,0.426,0.425
"228",1,0.028,0.028,-1.717,0.007,-0.017,0.011,0.02,0.003,0.015,0.011
"229",1,1.297,1.297,-0.47,1.293,1.195,0.691,0.732,0.682,0.682,0.691
"230",1,0.017,0.017,-1.722,0.001,-0.024,0.005,0.017,0,0.011,0.005
"231",1,0.024,0.024,-1.719,0.002,-0.023,0.009,0.019,0,0.012,0.009
"232",1,0.07,0.07,-1.699,0.046,0.024,0.033,0.03,0.024,0.038,0.033
"233",1,0.897,0.897,-0.833,0.888,0.838,0.476,0.524,0.468,0.486,0.476
"234",1,0.069,0.069,-1.678,0.049,0.025,0.033,0.043,0.025,0.038,0.033
"235",1,0.451,0.451,-1.309,0.444,0.362,0.237,0.253,0.234,0.224,0.237
"236",1,0.661,0.661,-1.073,0.659,0.592,0.35,0.388,0.347,0.35,0.35
"237",1,0.095,0.095,-1.631,0.085,0.039,0.047,0.069,0.044,0.046,0.047
"238",2,0.086,0.086,-1.636,0.069,0.025,0.042,0.066,0.036,0.038,0.042
"239",2,0.058,0.058,-1.663,0.041,-0.003,0.027,0.051,0.021,0.023,0.027
"240",2,0.366,0.366,-1.364,0.356,0.306,0.192,0.222,0.187,0.193,0.192
"241",2,1.782,1.782,0,1.897,1.773,0.951,1,1,1,0.951
"242",2,1.803,1.803,0,1.803,1.64,0.962,1,0.95,0.927,0.962
"243",2,1.573,1.573,-0.253,1.569,1.402,0.839,0.856,0.827,0.796,0.839
"244",2,0.065,0.065,-1.658,0.047,0.003,0.031,0.054,0.024,0.026,0.031
"245",2,0.297,0.297,-1.437,0.29,0.234,0.155,0.18,0.152,0.153,0.155
"246",2,0.163,0.163,-1.568,0.148,0.101,0.083,0.105,0.077,0.08,0.083
"247",2,0.421,0.421,-1.312,0.411,0.358,0.221,0.251,0.216,0.221,0.221
"248",2,0.058,0.058,-1.666,0.041,-0.005,0.027,0.049,0.021,0.022,0.027
"249",2,0.441,0.441,-1.289,0.433,0.382,0.232,0.264,0.228,0.235,0.232
"250",2,1.214,1.214,-0.565,1.217,1.08,0.646,0.678,0.641,0.619,0.646
"251",2,1.583,1.583,-0.21,1.571,1.446,0.844,0.88,0.828,0.82,0.844
"252",2,0.031,0.031,-1.738,0.007,-0.015,0.012,0.008,0.003,0.016,0.012
