"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"825","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus",NA,"Rallus aquaticus","Rallus aquaticus"
"826","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus","Rallus aquaticus"
"827","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans"
"828","Rallus elegans","Rallus elegans","Rallus elegans","Rallus elegans","Rallus tenuirostris","Rallus elegans","Rallus elegans"
"829","Rallus limicola","Rallus limicola","Rallus limicola","Rallus limicola","Rallus limicola","Rallus limicola","Rallus limicola"
"830","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris"
"831","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus obsoletus","Rallus longirostris","Rallus longirostris"
"832","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus longirostris","Rallus crepitans","Rallus longirostris","Rallus longirostris"
"833","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta","Recurvirostra avosetta"
"834","Regulus calendula","Regulus calendula","Regulus calendula","Regulus calendula","Regulus calendula","Corthylio calendula","Corthylio calendula"
"835","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla"
"836","Regulus ignicapilla","Regulus ignicapillus","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla","Regulus ignicapilla"
"837","Regulus madeirensis","Regulus madeirensis","Regulus madeirensis","Regulus madeirensis","Regulus madeirensis","Regulus madeirensis","Regulus madeirensis"
"838","Regulus regulus","Regulus regulus","Regulus regulus","Regulus regulus","Regulus regulus","Regulus regulus","Regulus regulus"
"839","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus satrapa","Regulus satrapa"
"840","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus"
"841","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus","Remiz macronyx","Remiz pendulinus","Remiz pendulinus","Remiz pendulinus"
"842","Riparia riparia","Riparia riparia","Riparia riparia","Riparia riparia","Riparia riparia","Riparia riparia","Riparia riparia"
"843","Riparia riparia","Riparia riparia","Riparia riparia","Riparia riparia","Riparia diluta","Riparia riparia","Riparia riparia"
"844","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla","Rissa tridactyla"
"845","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis","Rostratula benghalensis"
"846","Rynchops niger","Rynchops niger","Rynchops niger","Rynchops niger","Rynchops niger","Rynchops niger","Rynchops niger"
"847","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra","Saxicola rubetra"
"848","Saxicola torquatus","Saxicola torquata","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola maurus","Saxicola maurus"
"849","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola maurus","Saxicola maurus"
"850","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola rubicola","Saxicola rubicola"
"851","Saxicola torquatus","Saxicola torquata","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus"
"852","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola stejnegeri","Saxicola stejnegeri"
"853","Saxicola torquatus","Saxicola torquata","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola stejnegeri","Saxicola stejnegeri"
"854","Saxicola torquatus","Saxicola torquata","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola rubicola","Saxicola rubicola"
"855","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus","Saxicola torquatus"
"856","Sayornis phoebe","Sayornis phoebe","Sayornis phoebe","Sayornis phoebe","Sayornis phoebe","Sayornis phoebe","Sayornis phoebe"
"857","Scolopax minor","Scolopax minor","Scolopax minor","Scolopax minor","Scolopax minor","Scolopax minor","Scolopax minor"
"858","Scolopax rusticola","Scolopax rusticola","Scolopax rusticola","Scolopax rusticola","Scolopax rusticola","Scolopax rusticola","Scolopax rusticola"
"859","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla"
"860","Seiurus motacilla","Seiurus motacilla","Seiurus motacilla",NA,"Parkesia motacilla","Parkesia motacilla","Parkesia motacilla"
"861","Seiurus noveboracensis","Seiurus noveboracensis","Seiurus noveboracensis",NA,"Parkesia noveboracensis","Parkesia noveboracensis","Parkesia noveboracensis"
"862","Serinus canaria","Serinus canaria","Serinus canaria","Serinus canaria","Serinus canaria","Serinus canaria","Serinus canaria"
"863","Serinus pusillus","Serinus pusillus","Serinus pusillus","Serinus pusillus","Serinus pusillus","Serinus pusillus","Serinus pusillus"
"864","Serinus serinus","Serinus serinus","Serinus serinus","Serinus serinus","Serinus serinus","Serinus serinus","Serinus serinus"
"865","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla","Setophaga ruticilla"
"866","Sialia sialis","Sialia sialis","Sialia sialis","Sialia sialis","Sialia sialis","Sialia sialis","Sialia sialis"
"867","Sitta canadensis","Sitta canadensis","Sitta canadensis","Sitta canadensis","Sitta canadensis","Sitta canadensis","Sitta canadensis"
"868","Sitta carolinensis","Sitta carolinensis","Sitta carolinensis","Sitta carolinensis","Sitta carolinensis","Sitta carolinensis","Sitta carolinensis"
"869","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea"
"870","Sitta europaea","Sitta europaea","Sitta europaea","Sitta europaea","Sitta arctica","Sitta europaea","Sitta europaea"
"871","Sitta krueperi","Sitta krueperi","Sitta krueperi","Sitta krueperi","Sitta krueperi","Sitta krueperi","Sitta krueperi"
"872","Sitta neumayer","Sitta neumayer","Sitta neumayer","Sitta neumayer","Sitta neumayer","Sitta neumayer","Sitta neumayer"
"873","Sitta whiteheadi","Sitta whiteheadi","Sitta whiteheadi","Sitta whiteheadi","Sitta whiteheadi","Sitta whiteheadi","Sitta whiteheadi"
"874","Sittiparus varius","Poecile varius","Sittiparus varius","Parus varius",NA,"Sittiparus varius","Sittiparus varius"
"875","Somateria mollissima","Somateria mollissima","Somateria mollissima","Somateria mollissima","Somateria mollissima","Somateria mollissima","Somateria mollissima"
"876","Somateria spectabilis","Somateria spectabilis","Somateria spectabilis","Somateria spectabilis","Somateria spectabilis","Somateria spectabilis","Somateria spectabilis"
"877","Spatula clypeata","Spatula clypeata","Spatula clypeata","Anas clypeata",NA,"Spatula clypeata","Spatula clypeata"
"878","Spatula querquedula","Spatula querquedula","Spatula querquedula","Anas querquedula",NA,"Spatula querquedula","Spatula querquedula"
"879","Sphyrapicus varius","Sphyrapicus varius","Sphyrapicus varius","Sphyrapicus varius","Sphyrapicus varius","Sphyrapicus varius","Sphyrapicus varius"
"880","Spilopelia senegalensis","Spilopelia senegalensis","Spilopelia senegalensis","Stigmatopelia senegalensis",NA,"Streptopelia senegalensis","Streptopelia senegalensis"
"881","Spilornis cheela","Spilornis cheela","Spilornis cheela","Spilornis cheela","Spilornis cheela","Spilornis cheela","Spilornis cheela"
"882","Spinus pinus","Spinus pinus","Spinus pinus","Carduelis pinus",NA,"Spinus pinus","Spinus pinus"
"883","Spinus spinus","Spinus spinus","Spinus spinus","Carduelis spinus",NA,"Spinus spinus","Spinus spinus"
"884","Spinus tristis","Spinus tristis","Spinus tristis","Carduelis tristis",NA,"Spinus tristis","Spinus tristis"
"885","Spiza americana","Spiza americana","Spiza americana","Spiza americana","Spiza americana","Spiza americana","Spiza americana"
"886","Spizella pallida","Spizella pallida","Spizella pallida","Spizella pallida","Spizella pallida","Spizella pallida","Spizella pallida"
"887","Spizella passerina","Spizella passerina","Spizella passerina","Spizella passerina","Spizella passerina","Spizella passerina","Spizella passerina"
"888","Spizella pusilla","Spizella pusilla","Spizella pusilla","Spizella pusilla","Spizella pusilla","Spizella pusilla","Spizella pusilla"
"889","Spodiopsar cineraceus","Spodiopsar cineraceus","Spodiopsar cineraceus","Sturnus cineraceus",NA,"Spodiopsar cineraceus","Spodiopsar cineraceus"
"890","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis [serripennis Group]"
"891","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx serripennis","Stelgidopteryx ridgwayi","Stelgidopteryx serripennis","Stelgidopteryx serripennis [serripennis Group]"
"892","Stercorarius longicaudus","Stercorarius longicaudus","Stercorarius longicaudus","Stercorarius longicaudus","Stercorarius longicaudus","Stercorarius longicaudus","Stercorarius longicaudus"
"893","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius parasiticus"
"894","Stercorarius pomarinus","Stercorarius pomarinus","Stercorarius pomarinus","Stercorarius pomarinus","Stercorarius pomarinus","Stercorarius pomarinus","Stercorarius pomarinus"
"895","Sterna albifrons","Sterna albifrons","Sterna albifrons",NA,"Sternula albifrons","Sternula albifrons","Sternula albifrons"
"896","Sterna dougallii","Sterna dougallii","Sterna dougallii","Sterna dougallii","Sterna dougallii","Sterna dougallii","Sterna dougallii"
"897","Sterna forsteri","Sterna forsteri","Sterna forsteri","Sterna forsteri","Sterna forsteri","Sterna forsteri","Sterna forsteri"
"898","Sterna hirundo","Sterna hirundo","Sterna hirundo","Sterna hirundo","Sterna hirundo","Sterna hirundo","Sterna hirundo"
"899","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea","Sterna paradisaea"
"900","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana","Sterna sumatrana"
"901","Sternula albifrons","Sternula albifrons","Sternula albifrons","Sterna albifrons",NA,"Sternula albifrons","Sternula albifrons"
"902","Sternula antillarum","Sternula antillarum","Sternula antillarum","Sterna antillarum",NA,"Sternula antillarum","Sternula antillarum"
"903","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto decaocto"
"904","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto","Streptopelia decaocto","Streptopelia xanthocycla","Streptopelia decaocto","Streptopelia decaocto decaocto"
"905","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis","Streptopelia orientalis"
"906","Streptopelia turtur","Streptopelia turtur","Streptopelia turtur","Streptopelia turtur","Streptopelia turtur","Streptopelia turtur","Streptopelia turtur"
"907","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix aluco"
"908","Strix aluco","Strix aluco","Strix aluco","Strix aluco","Strix nivicolum","Strix aluco","Strix aluco"
"909","Strix aluco","Strix aluco","Strix aluco","Strix aluco",NA,"Strix aluco","Strix aluco"
"910","Strix nebulosa","Strix nebulosa","Strix nebulosa","Strix nebulosa","Strix nebulosa","Strix nebulosa","Strix nebulosa"
"911","Strix uralensis","Strix uralensis","Strix uralensis","Strix davidi","Strix uralensis","Strix davidi","Strix davidi"
"912","Strix uralensis","Strix uralensis","Strix uralensis","Strix uralensis","Strix uralensis","Strix uralensis","Strix uralensis"
"913","Strix varia","Strix varia","Strix varia","Strix varia","Strix varia","Strix varia","Strix varia"
"914","Sturnella magna","Sturnella magna","Sturnella magna","Sturnella magna","Sturnella magna","Sturnella magna","Sturnella magna"
"915","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta","Sturnella neglecta"
"916","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor","Sturnus unicolor"
"917","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris","Sturnus vulgaris"
"918","Sula leucogaster","Sula leucogaster","Sula leucogaster","Sula leucogaster","Sula leucogaster","Sula leucogaster","Sula leucogaster"
"919","Surnia ulula","Surnia ulula","Surnia ulula","Surnia ulula","Surnia ulula","Surnia ulula","Surnia ulula"
"920","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla"
"921","Sylvia balearica","Sylvia balearica","Sylvia balearica","Sylvia sarda",NA,"Curruca balearica","Curruca balearica"
"922","Sylvia borin","Sylvia borin","Sylvia borin","Sylvia borin","Sylvia borin","Sylvia borin","Sylvia borin"
"923","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans",NA,"Curruca iberiae","Curruca iberiae/cantillans"
"924","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia subalpina","Curruca iberiae","Curruca iberiae/cantillans"
"925","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Curruca iberiae","Curruca iberiae/cantillans"
"926","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans",NA,"Curruca cantillans","Curruca iberiae/cantillans"
"927","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia subalpina","Curruca cantillans","Curruca iberiae/cantillans"
"928","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Sylvia cantillans","Curruca cantillans","Curruca iberiae/cantillans"
"929","Sylvia communis","Sylvia communis","Sylvia communis","Sylvia communis","Sylvia communis","Curruca communis","Curruca communis"
"930","Sylvia conspicillata","Sylvia conspicillata","Sylvia conspicillata","Sylvia conspicillata","Sylvia conspicillata","Curruca conspicillata","Curruca conspicillata"
"931","Sylvia crassirostris","Sylvia crassirostris","Sylvia crassirostris","Sylvia hortensis",NA,"Curruca crassirostris","Curruca crassirostris"
"932","Sylvia curruca","Sylvia curruca","Sylvia curruca","Sylvia althaea","Sylvia curruca","Curruca curruca","Curruca curruca"
"933","Sylvia curruca","Sylvia curruca","Sylvia curruca","Sylvia minula","Sylvia curruca","Curruca curruca","Curruca curruca"
"934","Sylvia curruca","Sylvia curruca","Sylvia curruca","Sylvia curruca","Sylvia curruca","Curruca curruca","Curruca curruca"
"935","Sylvia hortensis","Sylvia hortensis","Sylvia hortensis","Sylvia hortensis","Sylvia crassirostris","Curruca hortensis","Curruca hortensis"
"936","Sylvia hortensis","Sylvia hortensis","Sylvia hortensis","Sylvia hortensis","Sylvia hortensis","Curruca hortensis","Curruca hortensis"
"937","Sylvia melanocephala","Sylvia melanocephala","Sylvia melanocephala","Sylvia melanocephala","Sylvia melanocephala","Curruca melanocephala","Curruca melanocephala"
"938","Sylvia mystacea","Sylvia mystacea","Sylvia mystacea","Sylvia mystacea","Sylvia mystacea","Curruca mystacea","Curruca mystacea"
"939","Sylvia nisoria","Sylvia nisoria","Sylvia nisoria","Sylvia nisoria","Sylvia nisoria","Curruca nisoria","Curruca nisoria"
"940","Sylvia ruppeli","Sylvia ruppeli","Sylvia ruppeli","Sylvia rueppelli",NA,"Curruca ruppeli","Curruca ruppeli"
"941","Sylvia sarda","Sylvia sarda","Sylvia sarda","Sylvia sarda","Sylvia balearica","Curruca sarda","Curruca sarda"
"942","Sylvia sarda","Sylvia sarda","Sylvia sarda","Sylvia sarda","Sylvia sarda","Curruca sarda","Curruca sarda"
"943","Sylvia subalpina","Sylvia subalpina","Sylvia subalpina","Sylvia cantillans",NA,"Curruca subalpina","Curruca subalpina"
"944","Sylvia undata","Sylvia undata","Sylvia undata","Sylvia undata","Sylvia undata","Curruca undata","Curruca undata"
"945","Syrmaticus reevesii","Syrmaticus reevesii","Syrmaticus reevesii","Syrmaticus reevesii","Syrmaticus reevesii","Syrmaticus reevesii","Syrmaticus reevesii"
"946","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii","Syrmaticus soemmerringii"
"947","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus ruficollis","Tachybaptus ruficollis"
"948","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor","Tachycineta bicolor"
"949","Tachymarptis melba","Tachymarptis melba","Tachymarptis melba","Tachymarptis melba","Tachymarptis melba","Apus melba","Apus melba"
"950","Tadorna ferruginea","Tadorna ferruginea","Tadorna ferruginea","Tadorna ferruginea","Tadorna ferruginea","Tadorna ferruginea","Tadorna ferruginea"
"951","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna"
"952","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger rufilatus","Tarsiger cyanurus","Tarsiger cyanurus"
"953","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus","Tarsiger cyanurus"
"954","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata","Terpsiphone atrocaudata"
"955","Tetrao tetrix","Tetrao tetrix","Tetrao tetrix",NA,"Lyrurus tetrix","Lyrurus tetrix","Lyrurus tetrix"
"956","Tetrao urogallus","Tetrao urogallus","Tetrao urogallus","Tetrao urogallus","Tetrao urogallus","Tetrao urogallus","Tetrao urogallus"
"957","Tetraogallus caspius","Tetraogallus caspius","Tetraogallus caspius","Tetraogallus caspius","Tetraogallus caspius","Tetraogallus caspius","Tetraogallus caspius"
"958","Tetraogallus caucasicus","Tetraogallus caucasicus","Tetraogallus caucasicus","Tetraogallus caucasicus","Tetraogallus caucasicus","Tetraogallus caucasicus","Tetraogallus caucasicus"
"959","Tetrastes bonasia","Tetrastes bonasia","Tetrastes bonasia",NA,NA,NA,NA
"960","Tetrax tetrax","Tetrax tetrax","Tetrax tetrax","Tetrax tetrax","Tetrax tetrax","Tetrax tetrax","Tetrax tetrax"
"961","Thalasseus sandvicensis","Thalasseus sandvicensis","Thalasseus sandvicensis","Sterna sandvicensis",NA,"Thalasseus sandvicensis","Thalasseus sandvicensis"
"962","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus albinucha","Thryothorus ludovicianus","Thryothorus ludovicianus"
"963","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus"
"964","Tichodroma muraria","Tichodroma muraria","Tichodroma muraria","Tichodroma muraria","Tichodroma muraria","Tichodroma muraria","Tichodroma muraria"
"965","Toxostoma rufum","Toxostoma rufum","Toxostoma rufum","Toxostoma rufum","Toxostoma rufum","Toxostoma rufum","Toxostoma rufum"
"966","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron formosae formosae/filipinus"
"967","Treron formosae","Treron formosae","Treron formosae","Treron formosae","Treron permagnus","Treron formosae","Treron formosae formosae/filipinus"
"968","Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron sieboldii","Treron sieboldii"
"969","Tringa erythropus","Tringa erythropus","Tringa erythropus","Tringa erythropus","Tringa erythropus","Tringa erythropus","Tringa erythropus"
"970","Tringa glareola","Tringa glareola","Tringa glareola","Tringa glareola","Tringa glareola","Tringa glareola","Tringa glareola"
"971","Tringa nebularia","Tringa nebularia","Tringa nebularia","Tringa nebularia","Tringa nebularia","Tringa nebularia","Tringa nebularia"
"972","Tringa ochropus","Tringa ochropus","Tringa ochropus","Tringa ochropus","Tringa ochropus","Tringa ochropus","Tringa ochropus"
"973","Tringa semipalmata","Tringa semipalmata","Tringa semipalmata","Catoptrophorus semipalmatus",NA,"Tringa semipalmata","Tringa semipalmata"
"974","Tringa stagnatilis","Tringa stagnatilis","Tringa stagnatilis","Tringa stagnatilis","Tringa stagnatilis","Tringa stagnatilis","Tringa stagnatilis"
"975","Tringa totanus","Tringa totanus","Tringa totanus","Tringa totanus","Tringa totanus","Tringa totanus","Tringa totanus"
"976","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes beani","Troglodytes aedon","Troglodytes aedon"
"977","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon","Troglodytes aedon"
"978","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes"
"979","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes hiemalis","Troglodytes troglodytes","Troglodytes troglodytes"
"980","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes troglodytes","Troglodytes pacificus","Troglodytes troglodytes","Troglodytes troglodytes"
"981","Turdus atrogularis","Turdus atrogularis","Turdus atrogularis","Turdus ruficollis",NA,"Turdus atrogularis","Turdus atrogularis"
"982","Turdus cardis","Turdus cardis","Turdus cardis","Turdus cardis","Turdus cardis","Turdus cardis","Turdus cardis"
"983","Turdus celaenops","Turdus celaenops","Turdus celaenops","Turdus celaenops","Turdus celaenops","Turdus celaenops","Turdus celaenops"
"984","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus","Turdus chrysolaus"
"985","Turdus iliacus","Turdus iliacus","Turdus iliacus","Turdus iliacus","Turdus iliacus","Turdus iliacus","Turdus iliacus"
"986","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus simillimus","Turdus merula","Turdus merula"
"987","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus mandarinus","Turdus merula","Turdus merula"
"988","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus merula"
"989","Turdus merula","Turdus merula","Turdus merula","Turdus merula","Turdus maximus","Turdus merula","Turdus merula"
"990","Turdus migratorius","Turdus migratorius","Turdus migratorius","Turdus migratorius","Turdus confinis","Turdus migratorius","Turdus migratorius"
"991","Turdus migratorius","Turdus migratorius","Turdus migratorius","Turdus migratorius","Turdus migratorius","Turdus migratorius","Turdus migratorius"
"992","Turdus pallidus","Turdus pallidus","Turdus pallidus","Turdus pallidus","Turdus pallidus","Turdus pallidus","Turdus pallidus"
"993","Turdus philomelos","Turdus philomelos","Turdus philomelos","Turdus philomelos","Turdus philomelos","Turdus philomelos","Turdus philomelos"
"994","Turdus pilaris","Turdus pilaris","Turdus pilaris","Turdus pilaris","Turdus pilaris","Turdus pilaris","Turdus pilaris"
"995","Turdus torquatus","Turdus torquatus","Turdus torquatus","Turdus torquatus","Turdus torquatus","Turdus torquatus","Turdus torquatus"
"996","Turdus viscivorus","Turdus viscivorus","Turdus viscivorus","Turdus viscivorus","Turdus viscivorus","Turdus viscivorus","Turdus viscivorus"
"997","Turnix suscitator","Turnix suscitator","Turnix suscitator","Turnix suscitator","Turnix suscitator","Turnix suscitator","Turnix suscitator"
"998","Tyrannus tyrannus","Tyrannus tyrannus","Tyrannus tyrannus","Tyrannus tyrannus","Tyrannus tyrannus","Tyrannus tyrannus","Tyrannus tyrannus"
"999","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba"
"1000","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto sp."
"1001","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto deroepstorffi","Tyto sp."
"1002","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba",NA,"Tyto sp."
"1003","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto alba","Tyto deroepstorffi","Tyto deroepstorffi"
"1004","Upupa epops","Upupa epops","Upupa epops","Upupa epops","Upupa marginata","Upupa epops","Upupa epops"
"1005","Upupa epops","Upupa epops","Upupa epops","Upupa epops","Upupa epops","Upupa epops","Upupa epops"
"1006","Uragus sibiricus","Uragus sibiricus","Uragus sibiricus",NA,"Carpodacus sibiricus","Carpodacus sibiricus","Carpodacus sibiricus"
"1007","Uria aalge","Uria aalge","Uria aalge","Uria aalge","Uria aalge","Uria aalge","Uria aalge"
"1008","Uria lomvia","Uria lomvia","Uria lomvia","Uria lomvia","Uria lomvia","Uria lomvia","Uria lomvia"
"1009","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps","Urosphena squameiceps"
"1010","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus","Vanellus cinereus"
"1011","Vanellus gregarius","Vanellus gregarius","Vanellus gregarius","Vanellus gregarius","Vanellus gregarius","Vanellus gregarius","Vanellus gregarius"
"1012","Vanellus leucurus","Vanellus leucurus","Vanellus leucurus","Vanellus leucurus","Vanellus leucurus","Vanellus leucurus","Vanellus leucurus"
"1013","Vanellus spinosus","Vanellus spinosus","Vanellus spinosus","Vanellus spinosus","Vanellus spinosus","Vanellus spinosus","Vanellus spinosus"
"1014","Vanellus vanellus","Vanellus vanellus","Vanellus vanellus","Vanellus vanellus","Vanellus vanellus","Vanellus vanellus","Vanellus vanellus"
"1015","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera","Vermivora chrysoptera"
"1016","Vermivora peregrina","Vermivora peregrina","Vermivora peregrina",NA,"Leiothlypis peregrina","Leiothlypis peregrina","Leiothlypis peregrina"
"1017","Vermivora pinus","Vermivora pinus","Vermivora pinus",NA,"Vermivora cyanoptera","Vermivora cyanoptera","Vermivora cyanoptera"
"1018","Vermivora ruficapilla","Vermivora ruficapilla","Vermivora ruficapilla",NA,"Leiothlypis ruficapilla","Leiothlypis ruficapilla","Leiothlypis ruficapilla"
"1019","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons","Vireo flavifrons"
"1020","Vireo gilvus","Vireo gilvus","Vireo gilvus","Vireo gilvus","Vireo gilvus","Vireo gilvus","Vireo gilvus"
