"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"361","Elanus caeruleus","Elanus caeruleus","Elanus caeruleus","Elanus caeruleus","Elanus caeruleus","Elanus caeruleus","Elanus caeruleus"
"362","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza aureola","Emberiza aureola"
"363","Emberiza bruniceps","Emberiza bruniceps","Emberiza bruniceps","Emberiza bruniceps","Emberiza bruniceps","Emberiza bruniceps","Emberiza bruniceps"
"364","Emberiza caesia","Emberiza caesia","Emberiza caesia","Emberiza caesia","Emberiza caesia","Emberiza caesia","Emberiza caesia"
"365","Emberiza calandra","Emberiza calandra","Emberiza calandra","Miliaria calandra",NA,"Emberiza calandra","Emberiza calandra"
"366","Emberiza cia","Emberiza cia","Emberiza cia","Emberiza cia","Emberiza cia","Emberiza cia","Emberiza cia"
"367","Emberiza cineracea","Emberiza cineracea","Emberiza cineracea","Emberiza cineracea","Emberiza cineracea","Emberiza cineracea","Emberiza cineracea"
"368","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberiza cioides","Emberiza cioides"
"369","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus"
"370","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella"
"371","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberiza fucata","Emberiza fucata"
"372","Emberiza hortulana","Emberiza hortulana","Emberiza hortulana","Emberiza hortulana","Emberiza hortulana","Emberiza hortulana","Emberiza hortulana"
"373","Emberiza melanocephala","Emberiza melanocephala","Emberiza melanocephala","Emberiza melanocephala","Emberiza melanocephala","Emberiza melanocephala","Emberiza melanocephala"
"374","Emberiza pallasi","Emberiza pallasi","Emberiza pallasi","Emberiza pallasi","Emberiza pallasi","Emberiza pallasi","Emberiza pallasi"
"375","Emberiza pusilla","Emberiza pusilla","Emberiza pusilla","Emberiza pusilla","Emberiza pusilla","Emberiza pusilla","Emberiza pusilla"
"376","Emberiza rustica","Emberiza rustica","Emberiza rustica","Emberiza rustica","Emberiza rustica","Emberiza rustica","Emberiza rustica"
"377","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus"
"378","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza personata","Emberiza spodocephala","Emberiza spodocephala spodocephala/sordida"
"379","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala spodocephala/sordida"
