occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Emberiza spodocephala","Emberiza spodocephala Pallas, 1776","2491522","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza spodocephala","Emberiza spodocephala","Pallas, 1776","2491522",
,"Emberiza sulphurata","Emberiza sulphurata Temminck & Schlegel, 1848","2491529","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza sulphurata","Emberiza sulphurata","Temminck & Schlegel, 1848","2491529",
,"Emberiza variabilis","Emberiza variabilis Temminck, 1836","2491545","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza variabilis","Emberiza variabilis","Temminck, 1836","2491545",
,"Emberiza yessoensis","Emberiza yessoensis (Swinhoe, 1874)","2491531","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza yessoensis","Emberiza yessoensis","(Swinhoe, 1874) ","2491531",
,"Empidonax alnorum","Empidonax alnorum Brewster, 1895","2482809","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax alnorum","Empidonax alnorum","Brewster, 1895","2482809",
,"Empidonax flaviventris","Empidonax flaviventris (W.M.Baird & S.F.Baird, 1843)","2482785","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax flaviventris","Empidonax flaviventris","(W.M.Baird & S.F.Baird, 1843) ","2482785",
,"Empidonax minimus","Empidonax minimus (W.M.Baird & S.F.Baird, 1843)","2482791","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax minimus","Empidonax minimus","(W.M.Baird & S.F.Baird, 1843) ","2482791",
,"Empidonax traillii","Empidonax traillii (Audubon, 1828)","2482786","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax traillii","Empidonax traillii","(Audubon, 1828) ","2482786",
,"Empidonax virescens","Empidonax virescens (Vieillot, 1818)","2482802","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax","Empidonax virescens","Empidonax virescens","(Vieillot, 1818) ","2482802",
,"Eophona personata","Eophona personata (Temminck & Schlegel, 1848)","2494143","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Eophona","Eophona personata","Eophona personata","(Temminck & Schlegel, 1848) ","2494143",
,"Eremophila alpestris","Eremophila alpestris (Linnaeus, 1758)","9415596","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","Eremophila alpestris","Eremophila alpestris","(Linnaeus, 1758) ","9415596",
