"","sp_atlas","Accepted_SPNAME","sp_sci_name"
"401","Hydrobates leucorhous","Hydrobates pelagicus","Hydrobates castro"
"402","Hydrobates leucorhous","Hydrobates pelagicus","Hydrobates leucorhous"
"403","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates furcatus"
"404","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates homochroa"
"405","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates matsudairae"
"406","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus"
"407","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates tethys"
"408","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates castro"
"409","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates leucorhous"
"410","Hydrocoloeus minutus","Hydrocoloeus minutus","Hydrocoloeus minutus"
"411","Hydropogne caspia","Hydroprogne caspia","Hydroprogne caspia"
"412","Hydroprogne caspia","Hydroprogne caspia","Hydroprogne caspia"
"413","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina"
"414","Hypsipetes amaurotis","Hypsipetes amaurotis","Hypsipetes affinis"
"415","Hypsipetes amaurotis","Hypsipetes amaurotis","Hypsipetes chloris"
"416","Hypsipetes amaurotis","Hypsipetes amaurotis","Hypsipetes amaurotis"
"417","Icteria virens","Icteria virens","Icteria virens"
"418","Icterus galbula","Icterus galbula","Icterus galbula"
"419","Icterus spurius","Icterus spurius","Icterus spurius"
"420","Iduna opaca","Iduna opaca","Iduna opaca"
