scientificName
Coturnix delegorguei
Coturnix japonica
Coua reynaudii
Cyrtonyx sallei
Coua cursor
Coua delalandei
Coua gigas
Coua olivaceiceps
Coua serriana
Coua verreauxi
Crax alberti
Crax alector
Crax blumenbachii
Crax daubentoni
Crax globulosa
Crax rubra
Creagrus furcatus
Crex crex
Crossoptilon mantchuricum
Dacelo gaudichaud
Dacelo leachii
Crotophaga major
Cryptolybia olivacea
Cryptophaps poecilorrhoa
Dacelo novaeguineae
Crypturellus bartletti
Crypturellus berlepschi
Crypturellus brevirostris
Crypturellus casiquiare
Crypturellus cinereus
Crypturellus erythropus
Crypturellus kerriae
Dacelo tyro
Dactylortyx thoracicus
Daption capense
Daptrius ater
Crypturellus noctivagus
