"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size"
"648","Prunella atrogularis","Prunella atrogularis","26","18.5","Shrubland","2","3","Carnivore","Invertivore","Terrestrial","950766.74"
"649","Prunella collaris","Prunella collaris","28","38.61","Grassland","3","2","Carnivore","Invertivore","Terrestrial","10326440.53"
"650","Prunella modularis","Prunella modularis","21.2","20.24","Forest","2","1","Omnivore","Invertivore","Terrestrial","6779516.3"
"651","Prunella montanella","Prunella montanella","24.4","17","Forest","2","3","Carnivore","Invertivore","Terrestrial","6373551.3"
"652","Prunella rubida","Prunella rubida","21.6","16.7","Shrubland","2","2","Carnivore","Invertivore","Terrestrial","316162.6"
"653","Psittacula krameri","Psittacula krameri","47.7","116.11","Forest","2","1","Herbivore","Omnivore","Insessorial","7699517.78"
"654","Pterocles alchata","Pterocles alchata","61.5","275.79","Grassland","3","2","Herbivore","Granivore","Terrestrial","3142814.68"
"655","Pterocles orientalis","Pterocles orientalis","63.7","404.87","Grassland","3","2","Herbivore","Granivore","Terrestrial","5783511.92"
"656","Pterodroma deserta","Pterodroma deserta","48.3","311","Marine","3","2","Carnivore","Aquatic predator","Generalist","43967640.59"
"657","Pterodroma madeira","Pterodroma madeira","53.9","201.05","Marine","3","2","Carnivore","Aquatic predator","Generalist","31437943.45"
"658","Ptyonoprogne rupestris","Ptyonoprogne rupestris","56","20.4","Rock","3","2","Carnivore","Invertivore","Aerial","10906260.69"
"659","Puffinus lherminieri","Puffinus lherminieri","55.6","192.76","Marine","3","2","Carnivore","Aquatic predator","Aquatic","78995853.09"
"660","Puffinus mauretanicus","Puffinus mauretanicus","58.1","497","Marine","3","2","Carnivore","Aquatic predator","Generalist","3816160.57"
"661","Puffinus puffinus","Puffinus puffinus","61.6","453.26","Marine","3","3","Carnivore","Aquatic predator","Generalist","69101740.74"
"662","Puffinus yelkouan","Puffinus yelkouan","60.6","497","Marine","3","2","Carnivore","Aquatic predator","Generalist","2989515.98"
"663","Pycnonotus sinensis","Pycnonotus sinensis","20.8","34.2","Human Modified","2","3","Herbivore","Frugivore","Insessorial","3154277.75"
"664","Pyrrhocorax graculus","Pyrrhocorax graculus","36.7","211","Rock","3","2","Carnivore","Invertivore","Terrestrial","3556954.7"
"665","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax","39","276.68","Rock","3","2","Carnivore","Invertivore","Terrestrial","12981520.53"
"666","Pyrrhula murina","Pyrrhula murina","25.4","30","Woodland","2","1","Herbivore","Granivore","Insessorial","144.43"
"667","Pyrrhula pyrrhula","Pyrrhula pyrrhula","24.9","24.26","Forest","2","1","Herbivore","Omnivore","Insessorial","17864017.39"
"668","Quiscalus major","Quiscalus major","29.7","151.21","Wetland","3","1","Carnivore","Omnivore","Terrestrial","202767.11"
"669","Quiscalus quiscula","Quiscalus quiscula","25.9","105.18","Wetland","3","2","Carnivore","Omnivore","Terrestrial","8216640.27"
"670","Rallina eurizonoides","Rallina eurizonoides","23.2","109","Forest","1","1","Omnivore","Omnivore","Terrestrial","2090656.41"
"671","Rallus aquaticus","Rallus aquaticus","30.5","110.67","Wetland","1","2","Carnivore","Aquatic predator","Terrestrial","15247128.44"
"672","Rallus elegans","Rallus elegans","24.6","313.31","Wetland","1","1","Carnivore","Aquatic predator","Terrestrial","3370002.52"
"673","Rallus limicola","Rallus limicola","26.5","84.1","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","5650094.92"
"674","Rallus longirostris","Rallus longirostris","18.1","259.35","Coastal","1","2","Carnivore","Aquatic predator","Terrestrial","643613.12"
"675","Recurvirostra avosetta","Recurvirostra avosetta","49.7","304","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","17136961.53"
"676","Regulus calendula","Regulus calendula","22","6.19","Forest","1","3","Carnivore","Invertivore","Insessorial","9263294.84"
"677","Regulus ignicapilla","Regulus ignicapilla","22","5.6","Forest","1","3","Carnivore","Invertivore","Insessorial","2693877.52"
"678","Regulus ignicapillus","Regulus ignicapilla","22","5.6","Forest","1","3","Carnivore","Invertivore","Insessorial","2693877.52"
"679","Regulus madeirensis","Regulus madeirensis","19.9","5.6","Forest","2","1","Carnivore","Invertivore","Insessorial","753.1"
"680","Regulus regulus","Regulus regulus","22","5.54","Forest","1","3","Carnivore","Invertivore","Insessorial","13206760.36"
"681","Regulus satrapa","Regulus satrapa","23.6","6.19","Forest","1","3","Carnivore","Invertivore","Insessorial","6348089.15"
"682","Remiz pendulinus","Remiz pendulinus","19.4","9.3","Wetland","2","3","Omnivore","Invertivore","Insessorial","5890271.68"
"683","Riparia riparia","Riparia riparia","53","12.68","Riverine","3","3","Carnivore","Invertivore","Aerial","42348582.97"
"684","Rissa tridactyla","Rissa tridactyla","59.4","415.99","Marine","3","2","Carnivore","Aquatic predator","Aerial","2307068.48"
"685","Rostratula benghalensis","Rostratula benghalensis","31.6","121","Wetland","1","2","Omnivore","Aquatic predator","Terrestrial","24950994.82"
"686","Rynchops niger","Rynchops niger","67.4","297.73","Riverine","3","2","Carnivore","Aquatic predator","Aerial","13769340.5"
"687","Saxicola rubetra","Saxicola rubetra","26.7","16.6","Shrubland","2","3","Carnivore","Invertivore","Insessorial","10238944.41"
"688","Saxicola torquata","Saxicola torquatus","20.8","14.09","Shrubland","3","2","Carnivore","Invertivore","Insessorial","32655980.34"
"689","Saxicola torquatus","Saxicola torquatus","20.8","14.09","Shrubland","3","2","Carnivore","Invertivore","Insessorial","32655980.34"
"690","Sayornis phoebe","Sayornis phoebe","20.6","19.7","Forest","2","3","Carnivore","Invertivore","Insessorial","6246276.45"
"691","Scolopax minor","Scolopax minor","30.6","196.32","Forest","3","3","Carnivore","Invertivore","Terrestrial","4263445.34"
"692","Scolopax rusticola","Scolopax rusticola","39.4","308.31","Forest","3","3","Carnivore","Omnivore","Terrestrial","15129244.23"
"693","Seiurus aurocapilla","Seiurus aurocapilla","24.9","18.8","Forest","1","3","Carnivore","Invertivore","Terrestrial","5222797.22"
"694","Seiurus motacilla","Parkesia motacilla","29.7","19.9","Forest","1","3","Carnivore","Invertivore","Terrestrial","2411690.61"
"695","Seiurus noveboracensis","Parkesia noveboracensis","28","16.3","Shrubland","1","3","Carnivore","Invertivore","Terrestrial","7602956.72"
"696","Serinus canaria","Serinus canaria","27.7","24.3","Woodland","2","1","Herbivore","Granivore","Generalist","10522.09"
"697","Serinus pusillus","Serinus pusillus","29.2","11.54","Rock","1","2","Herbivore","Granivore","Terrestrial","1833803.31"
"698","Serinus serinus","Serinus serinus","29.3","11.2","Forest","2","2","Herbivore","Granivore","Generalist","4819417.99"
"699","Setophaga ruticilla","Setophaga ruticilla","24.6","8.24","Forest","1","3","Carnivore","Invertivore","Insessorial","6675504.95"
"700","Sialia sialis","Sialia sialis","32.8","27.5","Woodland","2","2","Carnivore","Invertivore","Insessorial","5460000"
"701","Sitta canadensis","Sitta canadensis","26.2","9.8","Forest","1","3","Omnivore","Omnivore","Insessorial","7299100.07"
"702","Sitta carolinensis","Sitta carolinensis","31.2","21","Forest","1","1","Omnivore","Omnivore","Insessorial","8811748.35"
"703","Sitta europaea","Sitta europaea","23.8","20.37","Forest","1","1","Carnivore","Invertivore","Insessorial","22902160.09"
"704","Sitta krueperi","Sitta krueperi","23.3","12.4","Forest","1","1","Omnivore","Omnivore","Insessorial","282938.85"
"705","Sitta neumayer","Sitta neumayer","14.9","26.5","Rock","3","1","Omnivore","Invertivore","Generalist","1244088.59"
"706","Sitta whiteheadi","Sitta whiteheadi","22.3","11.8","Forest","1","1","Omnivore","Omnivore","Insessorial","2318.9"
"707","Poecile varius",NA,"19.7","17","Forest","2","1","Carnivore","Invertivore","Insessorial","692847.17"
"708","Somateria mollissima","Somateria mollissima","44.9","2060.93","Marine","3","2","Carnivore","Aquatic predator","Aquatic","3321100.72"
"709","Somateria spectabilis","Somateria spectabilis","48.9","1616.71","Marine","3","3","Carnivore","Aquatic predator","Aquatic","3200134.05"
"710","Spatula clypeata",NA,"58","612.56","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","27068888.24"
"711","Spatula querquedula",NA,"56.1","325.6","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","16861397.11"
"712","Sphyrapicus varius","Sphyrapicus varius","33.9","50.3","Woodland","1","3","Omnivore","Omnivore","Insessorial","4472315.75"
"713","Spilopelia senegalensis","Spilopelia senegalensis","34.2","82.13","Woodland","3","1","Herbivore","Granivore","Terrestrial","28873137.27"
"714","Spilornis cheela","Spilornis cheela","30.1","597.74","Forest","1","1","Carnivore","Vertivore","Insessorial","6837152.16"
"715","Spinus pinus","Spinus pinus","35.2","12.7","Forest","1","1","Herbivore","Granivore","Insessorial","7806130.28"
"716","Spinus spinus","Spinus spinus","36.5","13.24","Forest","1","1","Herbivore","Granivore","Insessorial","8968022.11"
"717","Spinus tristis","Spinus tristis","27.6","12.79","Forest","1","1","Herbivore","Granivore","Insessorial","7802444.22"
"718","Spiza americana","Spiza americana","26.4","26.18","Grassland","3","3","Omnivore","Omnivore","Terrestrial","3462252.57"
"719","Spizella pallida","Spizella pallida","18.6","11.2","Shrubland","2","3","Omnivore","Granivore","Generalist","3219955.48"
"720","Spizella passerina","Spizella passerina","24.2","12.2","Forest","2","3","Omnivore","Omnivore","Generalist","13081064.54"
"721","Spizella pusilla","Spizella pusilla","16.7","12.5","Grassland","2","2","Omnivore","Granivore","Generalist","3997616.97"
"722","Spodiopsar cineraceus","Spodiopsar cineraceus","36","83","Grassland","3","1","Carnivore","Invertivore","Terrestrial","5348180.01"
"723","Stelgidopteryx serripennis","Stelgidopteryx serripennis","50.7","15.69","Shrubland","3","3","Carnivore","Invertivore","Aerial","9985106.05"
"724","Stercorarius longicaudus","Stercorarius longicaudus","60.2","287.9","Marine","3","3","Carnivore","Aquatic predator","Aerial","6233403.78"
"725","Stercorarius parasiticus","Stercorarius parasiticus","60.2","444.31","Marine","3","3","Carnivore","Aquatic predator","Aerial","6277591.31"
"726","Stercorarius pomarinus","Stercorarius pomarinus","55.8","692.47","Marine","3","3","Carnivore","Aquatic predator","Aerial","3233984.08"
"727","Sterna albifrons","Sternula albifrons","69.8","57","Coastal","3","3","Carnivore","Aquatic predator","Aerial","11965931.09"
"728","Hydropogne caspia","Hydroprogne caspia","65.1","655","Wetland","3","3","Carnivore","Aquatic predator","Aerial","6293644.91"
"729","Sterna dougallii","Sterna dougallii","69.1","112","Marine","3","3","Carnivore","Aquatic predator","Aerial","7673719.22"
"730","Sterna forsteri","Sterna forsteri","68.7","149","Wetland","3","3","Carnivore","Aquatic predator","Aerial","1801878.95"
"731","Sterna hirundo","Sterna hirundo","67.3","129.15","Marine","3","3","Carnivore","Aquatic predator","Aerial","30248469.5"
"732","Sterna paradisaea","Sterna paradisaea","69.1","110","Coastal","3","3","Carnivore","Aquatic predator","Aerial","10398468.44"
"733","Sterna sumatrana","Sterna sumatrana","65.9","106","Marine","3","2","Carnivore","Aquatic predator","Aerial","10103250.1"
"734","Sternula albifrons","Sternula albifrons","69.8","57","Coastal","3","3","Carnivore","Aquatic predator","Aerial","11965931.09"
"735","Sternula antillarum","Sternula antillarum","69.1","45.86","Marine","3","3","Carnivore","Aquatic predator","Aerial","1340830.63"
"736","Streptopelia decaocto","Streptopelia decaocto","35.4","148.96","Human Modified","3","1","Herbivore","Omnivore","Terrestrial","19495951.64"
"737","Streptopelia orientalis","Streptopelia orientalis","32.8","232.94","Woodland","3","3","Herbivore","Omnivore","Terrestrial","16926350.97"
"738","Streptopelia turtur","Streptopelia turtur","43.5","132","Woodland","2","3","Herbivore","Granivore","Terrestrial","17578320.62"
"739","Strix aluco","Strix aluco","29.3","472.46","Forest","1","1","Carnivore","Vertivore","Insessorial","14464131.31"
"740","Strix nebulosa","Strix nebulosa","31.9","1061.89","Forest","2","1","Carnivore","Vertivore","Insessorial","19847527.93"
"741","Strix uralensis","Strix uralensis","28.8","780.56","Forest","2","1","Carnivore","Vertivore","Insessorial","12224942.84"
"742","Strix varia","Strix varia","29.6","711.49","Forest","2","1","Carnivore","Vertivore","Insessorial","6628563.52"
"743","Sturnella magna","Sturnella magna","24.8","91.76","Grassland","3","2","Carnivore","Invertivore","Terrestrial","7031582.36"
"744","Sturnella neglecta","Sturnella neglecta","27.8","100.06","Grassland","3","2","Omnivore","Invertivore","Terrestrial","6719237.68"
"745","Sturnus unicolor","Sturnus unicolor","35.9","83.66","Forest","2","1","Omnivore","Omnivore","Generalist","826392.84"
"746","Sturnus vulgaris","Sturnus vulgaris","38.4","77.14","Human Modified","3","2","Omnivore","Omnivore","Insessorial","17082191.68"
"747","Sula leucogaster","Sula leucogaster","59.3","1288.82","Marine","3","2","Carnivore","Aquatic predator","Aerial","26818777.48"
"748","Surnia ulula","Surnia ulula","38.6","319.9","Grassland","3","2","Carnivore","Vertivore","Insessorial","21131927.34"
"749","Sylvia atricapilla","Sylvia atricapilla","27","16.7","Woodland","1","3","Omnivore","Omnivore","Insessorial","8628077.66"
"750","Sylvia balearica","Sylvia balearica","16.7","9.8","Shrubland","2","1","Carnivore","Invertivore","Insessorial","4300.52"
"751","Sylvia borin","Sylvia borin","30","18.2","Woodland","1","3","Omnivore","Omnivore","Insessorial","9648408.47"
"752","Sylvia cantillans","Sylvia cantillans","22.3","9.6","Shrubland","1","3","Omnivore","Invertivore","Insessorial","1510923.82"
"753","Sylvia communis","Sylvia communis","24.2","15.1","Shrubland","3","3","Omnivore","Invertivore","Insessorial","14124012.64"
"754","Sylvia conspicillata","Sylvia conspicillata","19.4","9","Shrubland","2","3","Carnivore","Invertivore","Insessorial","1315716.19"
"755","Sylvia crassirostris","Sylvia crassirostris","26.4","23","Woodland","2","3","Carnivore","Invertivore","Insessorial","2006028.95"
"756","Sylvia curruca","Sylvia curruca","22","11.44","Shrubland","3","3","Omnivore","Invertivore","Insessorial","16659794.83"
"757","Sylvia hortensis","Sylvia hortensis","23.2","21.9","Woodland","2","3","Carnivore","Invertivore","Insessorial","3045829.07"
"758","Sylvia melanocephala","Sylvia melanocephala","18","11.7","Shrubland","2","2","Omnivore","Invertivore","Insessorial","1781820.85"
"759","Sylvia mystacea","Sylvia mystacea","16.1","9.9","Shrubland","2","3","Carnivore","Invertivore","Insessorial","1359316.78"
"760","Sylvia nisoria","Sylvia nisoria","27.2","22.5","Shrubland","2","3","Carnivore","Invertivore","Insessorial","10133103.58"
"761","Sylvia ruppeli","Sylvia ruppeli","23.1","12.84","Shrubland","2","3","Carnivore","Invertivore","Insessorial","238081.29"
"762","Sylvia sarda","Sylvia sarda","15.9","9.8","Shrubland","2","1","Carnivore","Invertivore","Insessorial","37562.64"
"763","Sylvia subalpina","Sylvia subalpina","22.3","9.6","Shrubland","1","3","Omnivore","Invertivore","Insessorial","84258.76"
"764","Sylvia undata","Sylvia undata","14.1","10.8","Shrubland","2","1","Carnivore","Invertivore","Insessorial","826720.86"
"765","Syrmaticus reevesii","Syrmaticus reevesii","20.6","1204.58","Woodland","2","1","Herbivore","Granivore","Terrestrial","531855.88"
"766","Syrmaticus soemmerringii","Syrmaticus soemmerringii","29.8","1081.66","Forest","1","1","Omnivore","Omnivore","Terrestrial","174734.06"
"767","Tachybaptus ruficollis","Tachybaptus ruficollis","32.2","169.43","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","36639881.74"
"768","Tachycineta bicolor","Tachycineta bicolor","53","21.2","Wetland","3","3","Carnivore","Invertivore","Aerial","11720977.55"
"769","Tachymarptis melba","Tachymarptis melba","72.5","100.38","Rock","1","3","Carnivore","Invertivore","Aerial","7307949.41"
"770","Tadorna ferruginea","Tadorna ferruginea","48.5","1235.03","Wetland","3","2","Omnivore","Omnivore","Terrestrial","18403211.28"
"771","Tadorna tadorna","Tadorna tadorna","51.8","1146.83","Coastal","3","2","Carnivore","Aquatic predator","Generalist","9435093.57"
"772","Tarsiger cyanurus","Tarsiger cyanurus","24.5","13.43","Forest","1","3","Carnivore","Invertivore","Generalist","13243497.76"
"773","Terpsiphone atrocaudata","Terpsiphone atrocaudata","23.9","18.7","Forest","2","3","Carnivore","Invertivore","Insessorial","390211.35"
"774","Tetrao tetrix","Lyrurus tetrix","36.8","1068.66","Forest","3","1","Herbivore","Herbivore terrestrial","Terrestrial","14007422.54"
"775","Tetrao urogallus","Tetrao urogallus","33.2","2716.61","Forest","2","1","Herbivore","Herbivore terrestrial","Generalist","11330230.84"
"776","Tetraogallus caspius","Tetraogallus caspius","39.7","2508.24","Rock","3","1","Herbivore","Herbivore terrestrial","Terrestrial","313937.42"
"777","Tetraogallus caucasicus","Tetraogallus caucasicus","40.5","1830.79","Rock","3","1","Herbivore","Herbivore terrestrial","Terrestrial","23392.94"
"778","Tetrastes bonasia","Tetrastes bonasia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","Tetrax tetrax","Tetrax tetrax","40.8","833.45","Grassland","3","2","Omnivore","Omnivore","Terrestrial","5061737.32"
"780","Thalasseus sandvicensis","Thalasseus sandvicensis","69.3","199.83","Marine","3","3","Carnivore","Aquatic predator","Aerial","2802142.59"
"781","Thryothorus ludovicianus","Thryothorus ludovicianus","11.4","18.96","Woodland","2","1","Carnivore","Invertivore","Insessorial","3217727.29"
"782","Tichodroma muraria","Tichodroma muraria","19.2","17.6","Rock","1","2","Carnivore","Invertivore","Insessorial","5602345.09"
"783","Toxostoma rufum","Toxostoma rufum","13.9","68.8","Shrubland","1","2","Omnivore","Omnivore","Generalist","5678627.88"
"784","Treron formosae","Treron formosae","35.8","140","Forest","2","1","Herbivore","Frugivore","Insessorial","40376.97"
"785","Treron sieboldii","Treron sieboldii","37.6","245","Forest","2","2","Herbivore","Frugivore","Insessorial","2159328.24"
"786","Tringa erythropus","Tringa erythropus","50.8","158","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","3716042.92"
"787","Tringa glareola","Tringa glareola","48.4","62.05","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","16979550.25"
"788","Tringa nebularia","Tringa nebularia","52.1","187","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","12134126.53"
"789","Tringa ochropus","Tringa ochropus","45.8","71.4","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","15230538.62"
"790","Tringa semipalmata","Tringa semipalmata","47.6","245.7","Coastal","3","3","Carnivore","Aquatic predator","Terrestrial","2508839.89"
"791","Tringa stagnatilis","Tringa stagnatilis","51.7","77.5","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","7597346.84"
"792","Tringa totanus","Tringa totanus","47.2","129","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","19709237.23"
"793","Troglodytes aedon","Troglodytes aedon","12.9","10.85","Shrubland","3","1","Carnivore","Invertivore","Insessorial","25654371.8"
"794","Troglodytes troglodytes","Troglodytes troglodytes","15.7","9.74","Forest","1","3","Carnivore","Invertivore","Insessorial","20939529.72"
"795","Turdus atrogularis","Turdus atrogularis","30.6","106","Forest","1","3","Omnivore","Invertivore","Insessorial","4253588.68"
"796","Turdus cardis","Turdus cardis","29.2","58.9","Forest","1","3","Omnivore","Invertivore","Terrestrial","700863.37"
"797","Turdus celaenops","Turdus celaenops","23.9","84.5","Forest","2","1","Omnivore","Omnivore","Insessorial","785.32"
"798","Turdus chrysolaus","Turdus chrysolaus","31.3","65.4","Forest","1","3","Omnivore","Invertivore","Insessorial","317940.09"
"799","Turdus iliacus","Turdus iliacus","32.3","61.2","Forest","1","3","Omnivore","Invertivore","Insessorial","11966382.53"
"800","Turdus merula","Turdus merula","23.1","102.73","Forest","2","1","Omnivore","Omnivore","Generalist","13987854.76"
"801","Turdus migratorius","Turdus migratorius","29","78.5","Forest","3","3","Omnivore","Invertivore","Generalist","16457967.86"
"802","Turdus pallidus","Turdus pallidus","33","72.1","Forest","1","3","Omnivore","Invertivore","Generalist","1057257.08"
"803","Turdus philomelos","Turdus philomelos","30.7","67.74","Forest","1","3","Omnivore","Invertivore","Generalist","13727296.63"
"804","Turdus pilaris","Turdus pilaris","33.3","106","Forest","1","3","Carnivore","Invertivore","Generalist","15234795.02"
"805","Turdus torquatus","Turdus torquatus","31.6","109","Shrubland","2","3","Omnivore","Omnivore","Insessorial","1567292.49"
"806","Turdus viscivorus","Turdus viscivorus","35.1","117.37","Forest","2","1","Omnivore","Omnivore","Insessorial","13574080.75"
"807","Turnix suscitator","Turnix suscitator","20.8","49.1","Grassland","3","1","Herbivore","Omnivore","Terrestrial","5511938.06"
"808","Tyrannus tyrannus","Tyrannus tyrannus","33.3","39.85","Woodland","2","3","Carnivore","Invertivore","Insessorial","9124093.16"
"809","Tyto alba","Tyto alba","39.7","403.32","Human Modified","3","1","Carnivore","Vertivore","Insessorial","63140525.19"
"810","Upupa epops","Upupa epops","21.4","66.93","Grassland","3","3","Carnivore","Invertivore","Terrestrial","47411719.4"
"811","Uragus sibiricus","Carpodacus sibiricus","22.5","17.43","Shrubland","2","2","Herbivore","Omnivore","Insessorial","6041699.66"
"812","Uria aalge","Uria aalge","57.5","991.93","Marine","3","3","Carnivore","Aquatic predator","Aquatic","1547284.08"
"813","Uria lomvia","Uria lomvia","51.9","963.99","Marine","3","3","Carnivore","Aquatic predator","Aquatic","2199476.8"
"814","Urosphena squameiceps","Urosphena squameiceps","20.3","9.3","Forest","1","3","Carnivore","Invertivore","Terrestrial","1055595.4"
"815","Vanellus cinereus","Vanellus cinereus","45.2","270","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","549695.13"
"816","Vanellus gregarius","Vanellus gregarius","49.2","224.49","Grassland","3","3","Carnivore","Invertivore","Terrestrial","1077682.03"
"817","Vanellus leucurus","Vanellus leucurus","40.8","132","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","1832228.09"
"818","Vanellus spinosus","Vanellus spinosus","37.2","187.95","Wetland","3","1","Carnivore","Omnivore","Terrestrial","8392007.79"
"819","Vanellus vanellus","Vanellus vanellus","40.2","218.37","Wetland","3","2","Carnivore","Omnivore","Terrestrial","18594755.95"
"820","Vermivora chrysoptera","Vermivora chrysoptera","25.9","8.74","Shrubland","2","3","Carnivore","Invertivore","Insessorial","946202.7"
"821","Vermivora peregrina","Leiothlypis peregrina","25.9","8.9","Forest","1","3","Carnivore","Invertivore","Insessorial","4777801.14"
"822","Vermivora pinus","Setophaga pinus","25.2","8.9","Shrubland","1","3","Carnivore","Invertivore","Insessorial","1491745.35"
"823","Vermivora ruficapilla","Leiothlypis ruficapilla","23.6","8.09","Forest","1","3","Carnivore","Invertivore","Insessorial","2772463.48"
"824","Vireo flavifrons","Vireo flavifrons","33.8","18","Forest","2","3","Carnivore","Invertivore","Insessorial","3167329.54"
"825","Vireo gilvus","Vireo gilvus","23.5","12.67","Forest","1","3","Carnivore","Invertivore","Insessorial","9680437.56"
"826","Vireo griseus","Vireo griseus","17.9","11.4","Shrubland","2","3","Carnivore","Invertivore","Insessorial","3034548.86"
"827","Vireo olivaceus","Vireo olivaceus","29.8","16.06","Forest","1","3","Omnivore","Invertivore","Insessorial","22981311.76"
"828","Vireo philadelphicus","Vireo philadelphicus","25.6","11.5","Woodland","1","3","Carnivore","Invertivore","Insessorial","2750346.28"
"829","Vireo solitarius","Vireo solitarius","29.3","15.3","Forest","1","3","Carnivore","Invertivore","Insessorial","3329804.9"
"830","Wilsonia canadensis","Cardellina canadensis","25.9","10.04","Forest","1","3","Carnivore","Invertivore","Insessorial","2768373.43"
"831","Wilsonia citrina","Setophaga citrina","21.5","10.54","Forest","2","3","Carnivore","Invertivore","Insessorial","2007300.04"
"832","Wilsonia pusilla","Cardellina pusilla","20.7","6.96","Forest","1","3","Carnivore","Invertivore","Insessorial","7961357.24"
"833","Xema sabini","Xema sabini","59.4","198","Marine","3","2","Carnivore","Aquatic predator","Generalist","563350.81"
"834","Xenus cinereus","Xenus cinereus","54.6","78.8","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","11623048.49"
"835","Zapornia parva",NA,"44","49.7","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","6785055.74"
"836","Zapornia pusilla",NA,"35.3","35.4","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","19543407.73"
"837","Zenaida macroura","Zenaida macroura","36.6","118.93","Human Modified","3","1","Herbivore","Granivore","Terrestrial","11131808.01"
"838","Zonotrichia albicollis","Zonotrichia albicollis","19.7","24.4","Woodland","2","3","Herbivore","Omnivore","Terrestrial","5662700.85"
"839","Zoothera aurea","Zoothera aurea","35","134.13","Forest","1","3","Carnivore","Invertivore","Generalist","7500552.07"
"840","Zoothera dauma","Zoothera dauma","29.7","134.13","Forest","1","3","Carnivore","Invertivore","Generalist","7192797.14"
"841","Zoothera sibirica","Geokichla sibirica","35.9","75.5","Forest","1","3","Omnivore","Invertivore","Terrestrial","7499143.62"
"842","Zosterops japonicus","Zosterops japonicus","19.9","11.29","Forest","2","1","Omnivore","Omnivore","Insessorial","3441189.98"
