"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","dataset"
"201","Lanius bucephalus",2,1,450221.445308138,1098,461,185690.704616032,0.42,"Birds_atlas_Japan"
"202","Alauda arvensis",1,1,448951.020447356,1095,363,146463.478243581,0.33,"Birds_atlas_Japan"
"203","Aegithalos caudatus",1,1,448951.020447356,1095,532,219862.452615112,0.49,"Birds_atlas_Japan"
"204","Phylloscopus coronatus",2,1,450221.445308138,1098,535,213332.541545559,0.49,"Birds_atlas_Japan"
"205","Hirundapus caudacutus",1,1,448951.020447356,1095,41,15921.3179067029,0.04,"Birds_atlas_Japan"
"206","Cuculus canorus",1,1,448951.020447356,1095,338,134447.943902514,0.31,"Birds_atlas_Japan"
"207","Cinclus pallasii",2,1,450221.445308138,1098,236,95874.9377790048,0.21,"Birds_atlas_Japan"
"208","Cyanoptila cyanomelana",1,1,448951.020447356,1095,632,257907.935091217,0.58,"Birds_atlas_Japan"
"209","Apus nipalensis",1,1,448951.020447356,1095,24,10151.2519180185,0.02,"Birds_atlas_Japan"
"210","Cinclus pallasii",1,1,448951.020447356,1095,224,91000.4541064676,0.2,"Birds_atlas_Japan"
"211","Megaceryle lugubris",1,1,448951.020447356,1095,78,32196.1876554848,0.07,"Birds_atlas_Japan"
"212","Cyanoptila cyanomelana",2,1,450221.445308138,1098,689,280831.153950569,0.63,"Birds_atlas_Japan"
"213","Treron sieboldii",2,1,450221.445308138,1098,590,237466.570293085,0.54,"Birds_atlas_Japan"
"214","Eophona personata",2,1,450221.445308138,1098,498,202887.567199331,0.45,"Birds_atlas_Japan"
"215","Leiothrix lutea",2,1,450221.445308138,1098,156,66642.7963452944,0.14,"Birds_atlas_Japan"
"216","Sula leucogaster",2,1,450221.445308138,1098,2,878.556758508255,0,"Birds_atlas_Japan"
"217","Syrmaticus soemmerringii",2,1,450221.445308138,1098,129,53516.9913605104,0.12,"Birds_atlas_Japan"
"218","Pitta nympha",2,1,450221.445308138,1098,30,12915.8186669006,0.03,"Birds_atlas_Japan"
"219","Eophona personata",1,1,448951.020447356,1095,427,174752.349955833,0.39,"Birds_atlas_Japan"
"220","Sitta europaea",1,1,448951.020447356,1095,231,91216.6339433671,0.21,"Birds_atlas_Japan"
"221","Cuculus optatus",1,1,448951.020447356,1095,537,214542.170697197,0.49,"Birds_atlas_Japan"
"222","Calonectris leucomelas",2,1,450221.445308138,1098,3,1272.22694620168,0,"Birds_atlas_Japan"
"223","Larus crassirostris",2,1,450221.445308138,1098,83,33326.0423021929,0.08,"Birds_atlas_Japan"
"224","Larus crassirostris",1,1,448951.020447356,1095,97,38642.3758425473,0.09,"Birds_atlas_Japan"
"225","Motacilla cinerea",2,1,450221.445308138,1098,557,226501.94090456,0.51,"Birds_atlas_Japan"
"226","Leiothrix lutea",1,1,448951.020447356,1095,40,17164.8952673394,0.04,"Birds_atlas_Japan"
"227","Motacilla grandis",2,1,450221.445308138,1098,263,109978.113554384,0.24,"Birds_atlas_Japan"
"228","Hierococcyx hyperythrus",2,1,450221.445308138,1098,140,56748.9315874912,0.13,"Birds_atlas_Japan"
"229","Anas platyrhynchos",2,1,450221.445308138,1098,99,38691.3218937862,0.09,"Birds_atlas_Japan"
"230","Tachybaptus ruficollis",1,1,448951.020447356,1095,134,55543.5480680753,0.12,"Birds_atlas_Japan"
"231","Cuculus optatus",2,1,450221.445308138,1098,585,232923.818811923,0.53,"Birds_atlas_Japan"
"232","Pernis ptilorhynchus",1,1,448951.020447356,1095,48,19742.3372102475,0.04,"Birds_atlas_Japan"
"233","Megaceryle lugubris",2,1,450221.445308138,1098,49,20025.6203804099,0.04,"Birds_atlas_Japan"
"234","Cygnus olor",2,1,450221.445308138,1098,9,3732.08013859709,0.01,"Birds_atlas_Japan"
"235","Cygnus olor",1,1,448951.020447356,1095,3,1287.55846221999,0,"Birds_atlas_Japan"
